이름,몸무게,키
하사,115,151
사타,88,141
마차,78,177
파나,41,191
파라,101,167
자자,60,183
가마,97,193
라바,65,158
아사,78,173
하나,100,184
라파,60,188
사타,48,195
가자,50,148
바사,113,195
차사,97,174
카나,76,167
다자,49,145
파카,92,173
라하,44,192
가타,84,169
다아,95,194
사가,106,170
자타,44,145
마사,81,157
라라,110,194
타가,51,174
자마,112,157
바하,59,182
바바,118,196
카자,67,150
나차,59,188
카라,52,177
사마,98,196
라카,50,188
나다,73,144
타나,74,148
다마,108,189
카마,50,176
파라,104,157
차차,42,169
바바,68,141
사나,67,158
다차,91,175
다나,77,152
나라,65,183
가마,85,154
파파,93,157
자나,102,143
마라,70,177
사타,104,179
라나,44,196
마하,93,171
파나,63,195
아아,61,189
자차,114,197
가사,103,191
하다,81,190
카하,58,186
사바,64,172
하자,115,152
아바,106,196
다바,95,161
사차,77,161
마마,78,147
파파,61,156
나가,80,165
카타,118,163
차파,85,159
파하,51,182
카나,72,197
자차,97,160
마라,83,198
차차,82,165
아차,109,169
라가,67,175
차나,75,166
파가,52,140
다아,93,187
타하,111,172
타하,110,187
바라,65,194
마사,55,140
사사,62,157
카차,67,181
다아,67,196
마자,44,178
나사,55,191
카차,94,161
나타,103,166
차파,103,182
차가,119,152
바타,86,167
나자,119,160
카아,114,177
가파,55,198
차마,98,176
마나,93,168
나나,118,191
다차,66,166
사바,41,145
하카,107,158
카하,111,183
가파,42,196
가카,40,163
라다,71,144
나타,77,180
나사,106,187
라파,40,163
아아,51,173
다라,78,185
마다,91,181
가하,80,180
가자,66,162
아사,116,170
가아,66,187
바차,107,168
자차,79,199
카나,67,142
나하,47,161
마자,117,164
다라,58,171
라라,114,142
파라,117,184
카마,79,141
가나,57,193
아하,91,162
하사,64,142
아사,91,154
사가,65,152
마자,119,161
나카,62,196
가자,73,144
하바,96,159
아카,46,154
가차,90,182
자타,100,152
파파,113,168
차사,61,190
나라,43,162
하하,83,150
다차,45,167
마나,84,167
파하,114,172
라하,64,146
파차,40,159
가파,116,196
카카,51,156
나바,67,184
가가,98,175
라사,92,166
차파,105,156
가마,74,141
자라,70,199
하마,89,172
사카,46,190
차가,116,177
라자,75,177
가마,49,183
가카,107,157
자자,80,176
하가,87,163
타가,107,175
카아,40,148
마차,93,169
아나,82,178
나자,66,197
사차,68,191
마나,70,158
가아,49,156
파차,64,192
하카,91,141
사하,87,147
다나,101,162
가자,77,154
다라,119,199
바마,113,159
마차,88,187
사카,119,183
카나,106,178
나나,101,168
가자,46,192
자라,89,155
카자,52,189
사나,105,186
하자,47,170
바가,100,188
카마,106,191
라자,69,146
라나,110,193
라타,97,171
사바,119,172
가바,72,172
차타,109,154
다타,107,140
사라,43,185
자마,82,174
하자,68,171
타차,115,148
라하,92,176
자가,46,175
마자,118,185
차마,113,189
자나,59,171
사자,56,178
바바,105,146
카타,58,140
바사,98,157
라라,91,181
나바,71,147
파차,44,197
마라,109,169
아자,52,199
나카,72,189
파사,97,174
파마,67,143
가나,96,162
타다,58,192
자아,107,190
사아,57,175
마파,90,180
아파,48,196
마가,59,163
가나,67,160
가라,111,186
바차,89,195
마차,94,189
타나,47,197
자나,78,178
사라,105,143
자라,104,198
바차,114,184
파마,108,142
카사,57,142
카사,61,187
하아,44,197
사아,78,189
라다,100,149
바카,117,158
바타,65,187
아아,118,173
하사,75,143
마바,116,198
마가,43,193
다마,43,193
차라,49,151
다하,118,159
파차,105,179
라아,42,168
나자,72,169
하파,117,194
자사,77,149
타차,106,147
바나,110,195
나아,77,190
사라,109,172
타마,93,184
아가,115,141
아가,112,158
카자,112,144
가자,109,141
바가,68,197
파하,73,197
파다,72,196
다하,59,162
사사,72,157
파다,61,155
차가,73,182
하라,105,176
카하,85,160
마타,112,169
하자,65,179
라다,82,194
사파,89,170
가라,98,181
사라,59,157
사다,91,173
타사,119,182
하차,73,176
마라,55,199
카가,66,155
타다,97,181
타가,95,193
아하,119,180
타바,75,142
타나,44,183
차타,45,198
다아,110,169
파다,45,176
카하,41,184
아마,83,193
자바,59,196
하차,51,157
타차,42,193
카아,77,183
아다,69,174
나카,73,191
하바,50,171
하하,77,181
자마,113,159
다마,90,162
바가,45,144
바아,61,155
나자,82,179
다나,47,182
파차,56,151
카바,60,166
가아,42,166
가다,93,190
파마,64,151
마다,117,193
마파,47,156
마마,95,176
아다,99,180
파바,83,141
사바,73,192
파하,110,172
아아,95,190
자카,71,157
나사,43,167
아사,84,186
다가,106,154
사마,78,190
마아,90,188
타가,82,155
카자,79,199
아가,59,157
바자,70,165
타카,57,140
아차,43,193
자바,40,145
마차,96,179
라바,96,143
자하,67,147
라자,89,188
바가,75,199
차타,110,146
마라,75,176
아마,76,156
나카,88,153
바파,52,175
하아,95,190
다하,42,183
가마,89,154
카카,94,159
카나,57,140
다아,92,187
카라,71,158
파하,66,160
나하,119,155
타가,56,197
차하,102,164
다라,103,165
파마,82,199
마가,59,150
하마,58,161
파바,88,171
아자,109,141
마아,66,161
하하,84,182
가카,98,164
자라,48,188
타타,97,175
라나,74,175
가타,90,178
라바,51,161
바라,49,152
자자,85,199
파가,62,155
마나,46,178
자차,44,164
가타,48,194
하카,57,199
차나,68,190
마라,56,145
차하,60,167
타다,102,199
라파,97,181
나라,82,147
가바,76,155
자가,108,153
아가,92,197
하차,79,154
차차,65,167
마아,46,176
사차,111,151
카자,106,197
사가,115,145
나카,113,174
자아,113,153
아마,92,163
카마,72,179
바타,61,150
카타,60,144
아라,70,146
자라,98,153
사가,43,157
타자,76,152
바차,113,168
파파,103,173
가타,62,166
아사,103,141
가가,81,146
자타,101,146
파아,52,167
가나,43,147
차차,98,148
아바,57,140
자카,51,165
자파,48,172
자하,101,150
다아,48,140
바아,79,171
나바,91,141
바나,90,167
자마,55,149
차카,66,188
라아,54,159
사타,98,149
마아,77,150
카자,119,193
타아,114,194
바카,79,165
바나,66,177
자사,89,143
라나,43,181
하자,89,189
바가,77,141
다다,49,181
마마,60,159
가가,107,153
아타,101,173
나마,106,145
다타,80,190
사라,109,148
가라,81,193
차다,58,150
라나,90,166
가나,109,163
타자,50,143
다자,85,174
파바,44,158
파아,60,175
가자,74,192
마바,59,142
자가,92,187
타아,64,184
나타,69,188
나하,107,144
라라,92,166
사가,100,159
나카,116,164
파마,48,156
라하,49,157
나바,111,155
파사,101,190
타마,98,192
자파,88,155
카마,78,148
자다,40,151
자자,61,162
나가,106,158
사바,117,184
마차,90,199
타가,40,165
다나,63,159
아하,41,195
자파,58,142
차바,117,188
파나,110,151
파라,46,196
마카,85,148
아다,103,145
라라,80,159
나마,92,170
나가,62,184
자라,70,176
바나,108,142
카바,82,169
라카,68,145
바바,43,161
자나,82,153
바카,101,194
마나,51,165
가사,42,147
하타,46,180
하마,48,164
마아,67,178
자가,59,177
아마,117,181
나카,65,176
하나,98,159
라자,99,181
하차,40,156
사라,46,152
타라,98,178
타차,56,197
바다,104,154
사타,81,169
가파,118,197
가차,65,168
카나,71,164
자카,88,165
다다,110,185
다다,51,179
아나,99,192
카가,73,195
타파,85,149
라파,118,175
다나,54,165
나마,111,146
차나,106,143
나아,47,196
다차,90,199
라가,110,198
마마,99,165
마나,78,178
바가,46,167
차나,91,176
카타,66,198
하타,57,156
파나,66,187
카가,55,188
하자,119,177
바자,94,189
사아,64,195
하자,73,153
타하,86,150
다타,51,161
사나,64,170
자다,70,195
차나,87,193
아파,81,192
가바,66,145
카차,112,172
바차,98,149
파자,113,153
나사,79,190
카아,105,141
아다,84,189
타카,89,147
바타,119,187
자마,65,162
아하,72,178
바차,76,176
마바,119,195
사자,62,173
타나,105,176
다라,63,182
카타,61,154
파파,87,169
나다,87,196
다사,107,191
카마,101,186
사가,107,140
아마,102,182
파가,65,181
하라,74,166
차차,102,180
카바,87,172
하가,52,189
바타,96,193
가사,63,157
다라,41,188
사자,94,178
가하,64,192
카마,95,186
라가,112,150
차타,69,187
마자,110,174
사아,85,176
마라,89,150
다하,94,145
다바,98,178
파라,49,189
아하,83,198
파다,117,186
자자,59,158
라아,66,167
카차,49,197
바바,88,161
다차,40,181
하라,79,155
자자,44,169
파자,73,193
다가,69,150
나라,116,174
타타,70,140
바아,41,199
하나,96,150
사사,94,174
카라,95,197
타사,115,185
마사,55,176
아차,85,179
아라,119,159
마마,63,164
가다,64,156
다사,118,197
자자,73,152
가다,75,170
아파,100,152
사마,78,148
나사,49,146
나마,62,188
자사,74,193
다타,63,198
파자,100,191
타가,97,189
타타,100,152
타사,102,157
나자,83,198
자바,119,193
파아,81,156
하바,40,175
나바,40,140
마카,76,197
라자,72,198
사카,108,173
차파,114,156
다바,84,185
차가,107,197
